Local A;Local B;Meio de transporte;Distância;Informação extra;Ponto cardeal
Loulé;São Brás de Alportel;Carro;13.2;;NE
Loulé;Santuário de Nossa Senhora da Piedade;Carro;1.7;;O
Loulé;Mina de Sal-Gema de Loulé;Carro;1.6;;SE
Loulé;Querença;Carro;10.3;;NE
Livramento;Luz de Tavira;Carro;3.2;;NE
Luz de Tavira;Moncarapacho;Carro;7.9;;O
Manta Rota;Vila Nova de Cacela;Carro;2.3;;NO
Mar Shopping Algarve;Santa Bárbara de Nexe;Carro;4.4;;NE
Martinlongo;Vaqueiros;Carro;7.7;;SE
Mértola;Monte Alto;Carro;6.0;;SE
Mértola;Penha da Águia;Barco;10.2;Barco;SE
Mesquita;Sedas;Carro;7.1;;O
Marismas de Isla Cristina;Punta del Moral;Carro;2.5;;SE
Minas de São Domingos;Moreanes;Carro;6.8;;SO
Minas de São Domingos;Vale do Poço;Carro;11.4;;N
Moncarapacho;Quelfes;Carro;4.7;;SO
Monte Alto;Picoitos;Carro;6.4;;SE
Monte Alto;Moreanes;Carro;6.7;;NE
Monte Francisco;Vista Real;Carro;2.0;;SO
Montenegro;Universidade do Algarve - Campus de Gambelas;Carro;2.1;;NO
Montenegro;Variante de Faro - Nó com o IC4;Carro;1.3;;NE
Montinho de Odeleite;Vale do Pereiro;Carro;2.2;;N
Moreanes;Salgueiros;Carro;7.5;;S
Murteira de Baixo;Murteira de Cima;Carro;0.4;;NO
Murteira de Cima;Portela Alta de Cima;Carro;2.0;;NO
Murteira de Cima;Sentinela;Carro;1.9;;S
Olhão;Variante de Faro - Nó com a M518;Carro;6.9;;O
Olhão;Quelfes;Carro;4.7;;NE
Olhão;Pechão;Carro;4.9;;NO
Olhos de Água;Praia da Falésia;Carro;3.9;;SE
Olhos de Água;Praia de Santa Eulália;Carro;2.8;;SO
Parque Mineiro Cova dos Mouros;Vaqueiros;Carro;4.3;;SO
Pechão;Quelfes;Carro;5.1;;E
Pedras d'El Rei;Santa Luzia;Carro;2.3;;NE
Pereiro;Tacões;Carro;4.4;;SE
Pereiro;Vicentes, Alcoutim;Carro;1.8;;NE
Pereiro;Serro da Vinha de Cima;Carro;2.7;;NO
Picoitos;Salgueiros;Carro;2.0;;E
Pomarão;Ponte Internacional do Baixo Guadiana;Carro;0.2;;SE
Pomarão;Salgueiros;Carro;4.6;;N
Pomarão;Puerto de la Laja;Barco;5.5;Barco;S
Ponte do Centenário;SE-30 - Saída 12;Carro;1.5;;NO
Ponte de Alamillo;Ronda Urbana Norte de Sevilha - Glorieta Olímpica;Carro;0.2;;E
Ponte de Alamillo;SE-30 - Saída 21;Carro;0.2;;O
Ponte Internacional do Baixo Guadiana;Puerto de la Laja;Carro;6.0;;SE
Portela Alta de Baixo;Portela Alta de Cima;Carro;0.6;;NO
Portela Alta de Cima;Quebradas;Carro;1.2;;O
Praia de Cabanas de Tavira;Praia da Cacela Velha;Barco;4.7;Barco;NE
Praia de Cabanas de Tavira;Praia da Ilha de Tavira;Barco;4.0;Barco;SO
Praia da Cacela Velha;Sítio da Fábrica;Barco;1.0;Barco;O
Praia do Barril;Praia da Ilha de Tavira;Barco;5.8;Barco;NE
Praia da Ilha de Tavira;Quatro Águas;Barco;0.7;Barco;NO
Praia de Isla Canela;Punta del Moral;Carro;4.3;;NE
Puerto de la Laja;Sanlúcar de Guadiana;Barco;7.0;Barco;S
Quarteira;Vale do Lobo;Carro;7.2;;SE
Quarteira;Vilamoura;Carro;3.2;;NO
Quatro Águas;Tavira - Sul;Carro;2.9;;NO
Quatro Águas;Santa Luzia;Barco;3.4;Barco;SO
Quatro Águas;Tavira - Norte;Barco;2.4;Barco;NO
Quebradas;Sentinela;Carro;2.5;;SE
Querença;São Brás de Alportel;Carro;16.3;;SE
Quinta do Lago;Vale do Lobo;Carro;5.8;;O
Ribeira do Vascão;Santa Marta;Carro;3.6;;S
Ribeira do Vascão;Sedas;Carro;2.7;;NO
Rocha da Pena;Salir;Carro;5.4;;SE
Ronda Urbana Norte de Sevilha - Glorieta Berrocal;Ronda Urbana Norte de Sevilha - Centro Deportivo Los Mares;Carro;0.4;;NE
Ronda Urbana Norte de Sevilha - Glorieta Berrocal;Ronda Urbana Norte de Sevilha - Glorieta de San Lázaro;Carro;0.9;;SO
Ronda Urbana Norte de Sevilha - Glorieta Olímpica;Ronda Urbana Norte de Sevilha - Glorieta de San Lázaro;Carro;0.5;;E
Ronda Urbana Norte de Sevilha - Centro Deportivo Los Mares;Ronda Urbana Norte de Sevilha - Pino Montano;Carro;0.4;;NE
Ronda Urbana Norte de Sevilha - Pino Montano;Ronda Urbana Norte de Sevilha - Poligono Store;Carro;0.9;;SE
Ronda Urbana Norte de Sevilha - Poligono Calonge;Ronda Urbana Norte de Sevilha - Poligono Store;Carro;0.6;;NO
Ruínas Romanas de Milreu;Santa Bárbara de Nexe;Carro;6.3;;O
Ruínas Romanas de Milreu;São Brás de Alportel;Carro;8.1;N2;N
San Bartolomé de la Torre;Villanueva de los Castillejos;Carro;16.8;;NO
San Bartolomé de la Torre;Tariquejo;Carro;10.1;;SO
San Silvestre de Guzmán;Sanlúcar de Guadiana;Carro;17.6;;NO
San Silvestre de Guzmán;Villanueva de los Castillejos;Carro;14.6;;NE
San Silvestre de Guzmán;Villablanca;Carro;9.6;;S
Santa Catarina da Fonte do Bispo;São Brás de Alportel;Carro;9.1;;O
Santa Luzia;Tavira - Sul;Carro;2.7;;N
Sul do Sapal de Castro Marim e Vila Real de Santo António;Vila Real de Santo António;Carro;1.8;;SE
SE-20 - Estádio de La Cartuja;SE-20 - Parque de Alamillo;Carro;1.1;;NE
SE-20 - Parque de Alamillo;SE-20 - San Jerónimo;Carro;0.9;;NE
SE-20 - Parque de Alamillo;Sevilha - Parque de Alamillo;Carro;1.0;;S
SE-30 - Saída 3;SE-30 - Saída 4;Carro;0.6;;S
SE-30 - Saída 4;SE-30 - Saída 5;Carro;1.1;;S
SE-30 - Saída 12;SE-30 - Saída 14;Carro;1.7;;NO
SE-30 - Saída 14;SE-30 - Saída 15;Carro;1.3;;O
SE-30 - Saída 21;Sevilha - Parque de Alamillo;Carro;0.8;;N
SE-40 - Reinício;SE-40 - Saída 35;Carro;6.9;;O
Serpa;Vila Nova de São Bento;Carro;18.1;;E
Serro da Vinha de Baixo;Serro da Vinha de Cima;Carro;0.8;;SE
Tavira - Norte;Tavira - Sul;Carro;1.5;;SO
Universidade do Algarve - Campus de Gambelas;Variante de Faro - Nó com o IC4;Carro;2.1;;SE
Universidade do Algarve - Campus da Penha;Variante de Faro - Nó com a M518;Carro;2.4;;NE
Variante de Faro - Nó com o IC4;Variante de Faro - Nó com a N2;Carro;2.0;;E
Variante de Faro - Nó com a M518;Variante de Faro - Nó com a N2;Carro;1.9;;NO
